paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.25,0.25,42,0.7530718281216868,0.6169527259110354,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6179901987231632,0.8047580610509734,0.6298744292609723,0.7196448811429198,0.615278482932867,0.6728679372746393,0.6046677927271391,0.4736104457626532,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
local,0.25,0.25,42,0.3620392891722626,0.41831521853725495,0.028570857013801288,0.0849653227193281,0.03641992495395243,0.10181640265844763,0.0256765452795662,0.07952961719396215,0.026490342068427708,0.07813361231274904,0.025696615753258812,0.08038165871215364,0.4460589782532134,0.47862027360558496,0.4236094572643053,0.4656707743940906,0.28563520484658,0.37898194307137234,0.2928535163249517,0.349987883077972,0.1782718835970133,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,0.1276950756082514
federated,0.25,0.25,42,0.6232330359622212,0.5580192902261799,0.000476178880489897,0.001906238045543432,0.0010297454427927732,0.004386528151730696,0.000744261487852782,0.002239885111649831,6.137340096756816e-05,0.0007696612738072872,6.933519034646451e-05,0.00022887764498591423,0.7760869517718937,0.5796930075248394,0.7672135374934848,0.6305743666534122,0.4748800787210656,0.5305555845490691,0.4747515758624414,0.49125420217739907,0.5643429235586099,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
centralized,0.25,0.5,42,0.7530718281216868,0.5699976037709411,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.5787270353255801,0.8047580610509734,0.5756399311252124,0.7196448811429198,0.5528876274764694,0.6728679372746393,0.5727358211565027,0.3857185490196585,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
local,0.25,0.5,42,0.3108784133826757,0.39161742244760633,0.014337483543749842,0.05964727486867147,0.022379062534309924,0.08556859403351944,0.015394544950686396,0.06545774009476105,0.009321439638006268,0.04293189199287444,0.010254887051996776,0.044630873353530956,0.3612779530588183,0.45113024559340326,0.3400921148519422,0.4230814442178942,0.2662129899978452,0.3569517300342957,0.275930595622097,0.33530626994483204,0.1688153986565273,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,0.09339454242464897
federated,0.25,0.5,42,0.5654236755207087,0.5125076566175727,0.0006116916047176346,0.002184052395323912,0.00110006018076092,0.003533293249706427,0.0011636883718892932,0.0033834426403045654,0.00010516947804717347,0.0013314960524439812,7.784838817315176e-05,0.00048797763884067535,0.7470703891805215,0.5699072876325657,0.6863268119208495,0.5850832116555114,0.38339873608101455,0.44429297823270214,0.4448987649004492,0.4507471489495118,0.6117449650061164,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
centralized,0.25,1.0,42,0.7530718281216868,0.624524884628317,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6425962790180191,0.8047580610509734,0.6369443923144297,0.7196448811429198,0.6104093085649293,0.6728679372746393,0.6081495586158899,0.4984737457107622,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
local,0.25,1.0,42,0.34616948754732163,0.41204268320330495,0.005365341338801954,0.030282225272043915,0.006281613942701369,0.03461471550390124,0.007081571681192144,0.034592936219709616,0.0028616539675567765,0.021167989106724662,0.0052365257637575265,0.030753260257840153,0.4228608181447508,0.4530343688214439,0.39420483451671123,0.4625372360912306,0.27900188148170096,0.3830951230602852,0.28861041604612353,0.3495040048402599,0.1789714469177884,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,0.15107722925787323
federated,0.25,1.0,42,0.5752268114004816,0.5615224831379062,0.0005550828736886615,0.0018051413151745997,0.0010534379398450255,0.0034011937392254676,0.0010062316432595253,0.003501317411661148,9.017714182846248e-05,0.00010559428483247757,7.048476982163265e-05,0.00021245982497930527,0.7506434581736995,0.6327879851445506,0.7200267692563905,0.6614953344385687,0.3789619399624869,0.4863125625066427,0.45127507820934953,0.46549405046186293,0.6370890427435432,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
centralized,0.25,2.0,42,0.7530718281216868,0.5880377322757602,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.5952231390695305,0.8047580610509734,0.5988498466725559,0.7196448811429198,0.5807024347207189,0.6728679372746393,0.5773755086402351,0.4616460537709864,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,
