paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.25,0.25,42,0.7002006234004926,0.6093350770496072,0.00047880598776828265,0.0030505648211110385,0.0009923229226842523,0.006915510435899099,0.0007833607960492373,0.002857369514803092,8.345839160028845e-05,0.0005213550264015793,5.608184073935263e-05,0.0019080243073403835,0.7731800446633853,0.6212374989579509,0.7728162393162393,0.6298654565915617,0.6948722284012946,0.60697798624704,0.5599339812210512,0.5792593664018765,0.47281293918026207,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
local,0.25,0.25,42,0.43087937615671246,0.441851510335222,0.019386552390278665,0.06702764341362831,0.01839233081554994,0.07113808991784851,0.01871209671953693,0.06520661178765198,0.022792002415371826,0.07036016375379016,0.017649779610655968,0.06140570819522254,0.46818322010689484,0.47117374683200436,0.4749640459517823,0.46661534316094616,0.3824950864112636,0.4070027345372488,0.39787515215690916,0.4226142168106888,0.18489801104837905,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,0.15607242669701787
federated,0.25,0.25,42,0.6938910498833855,0.5846485908091424,0.0005548053431994049,0.0028081893927107255,0.001008134102448821,0.004508743353188038,0.0010544679826125503,0.005583089972535769,7.851367263356224e-05,0.0005720500648021698,7.810561510268599e-05,0.000568874180316925,0.7846815491505986,0.5826570281143023,0.737315517508245,0.6322792227505946,0.6870123141558996,0.581904653165117,0.5665548187187984,0.5417534592065558,0.4842333994717435,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
centralized,0.25,0.5,42,0.7002006234004926,0.5638565111647214,0.00047880598776828265,0.0030505648211110385,0.0009923229226842523,0.006915510435899099,0.0007833607960492373,0.002857369514803092,8.345839160028845e-05,0.0005213550264015793,5.608184073935263e-05,0.0019080243073403835,0.7731800446633853,0.5802976952503367,0.7728162393162393,0.577102271272299,0.6948722284012946,0.5463176837305965,0.5599339812210512,0.5517083944056536,0.38848605296922345,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
local,0.25,0.5,42,0.3766103660812355,0.41467620110433556,0.006982696848899649,0.037968844801606616,0.008822336338926106,0.05047746379077435,0.007498857978498563,0.039206043772399425,0.006100522979977541,0.03196085123786082,0.005509070098196389,0.03023102040539185,0.4100993504484526,0.4376206093702984,0.4123469181202416,0.4409035917424696,0.3259347789159209,0.38645966449348695,0.35806041684032697,0.3937209388110873,0.16224251326446942,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,0.11032788377800823
federated,0.25,0.5,42,0.6842140813612518,0.5580242146424509,0.0006598884174309205,0.003647180448363846,0.0011671632528305054,0.005545289434492589,0.001296817441470921,0.006514459741612276,8.158120181178674e-05,7.040395494550467e-05,9.399177361046895e-05,0.002458568662405014,0.7527412039104688,0.560110991780544,0.6886111732002144,0.5765483602915434,0.6533980477543837,0.5373163767057374,0.6421059005799403,0.5581211297919787,0.38953235561182925,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
centralized,0.25,1.0,42,0.7002006234004926,0.6201060805273526,0.00047880598776828265,0.0030505648211110385,0.0009923229226842523,0.006915510435899099,0.0007833607960492373,0.002857369514803092,8.345839160028845e-05,0.0005213550264015793,5.608184073935263e-05,0.0019080243073403835,0.7731800446633853,0.6476277770491113,0.7728162393162393,0.6479575520255839,0.6948722284012946,0.6073034203920199,0.5599339812210512,0.5775355726426951,0.5003810214782204,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
local,0.25,1.0,42,0.44600660908165274,0.4565244801175369,0.002222833871928742,0.013709593285503797,0.004750484460964799,0.028458863578240078,0.0031682009575888515,0.015572620367258785,0.0005024536192649975,0.005681649875237295,0.0004701964498963207,0.005125239321279029,0.4837915830610913,0.47716674514578933,0.49203692627802564,0.4891952578566058,0.3849794624499177,0.42660491818128954,0.4232184645375763,0.4331309992864626,0.1807052318092794,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,0.17398453138658582
federated,0.25,1.0,42,0.6876274272573463,0.6052622667084323,0.0006126866228441941,0.0033219510402608043,0.001142185996286571,0.0032807613859574,0.0010982968378812075,0.005870068741341432,9.482957830186933e-05,0.0018211767201622329,0.00011543407890712842,0.002315797313582152,0.7528664679116926,0.6257012576009459,0.7252122785531102,0.6479320481462622,0.6637137357101976,0.5758795414317155,0.6087172268543845,0.5715362196548056,0.5025231572555665,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
centralized,0.25,2.0,42,0.7002006234004926,0.5806779112649004,0.00047880598776828265,0.0030505648211110385,0.0009923229226842523,0.006915510435899099,0.0007833607960492373,0.002857369514803092,8.345839160028845e-05,0.0005213550264015793,5.608184073935263e-05,0.0019080243073403835,0.7731800446633853,0.5973611339269888,0.7728162393162393,0.6058204354030646,0.6948722284012946,0.5658157008978933,0.5599339812210512,0.5537143748316549,0.45916914786220636,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,
