paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
centralized,0.1,0.1,42,0.7603911801143792,0.643213666740641,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6403466344675658,0.8186975270168998,0.7201988407530489,0.649784704401065,0.5710209152698318,0.7395764364778438,0.6412882764721175,0.7398436162332089,1.0,0.1,0.1,Risk_Category_Composite,100,1.2203657020197638,0.5390082665693643,100,37376,11210.257329785076
local,0.1,0.1,42,0.2860702415581787,0.3766212539103977,0.11030017986677194,0.27240327135853004,0.11077190570067615,0.27476416143129273,0.07323784139589407,0.22187082346603276,0.1328455088510964,0.30153568797251207,0.12434546351942118,0.2914424125642826,0.3034710733629181,0.37164904486120204,0.3101417503178995,0.3957349978461307,0.2428438057942775,0.3576316031992874,0.28782433675761965,0.3814693697349708,0.1894485351023146,0.063472916819448,0.1,0.1,Risk_Category_Composite,100,1.2203657020197638,0.5390082665693643,100,37376,11210.257329785076
federated,0.1,0.1,42,0.7507936626425196,0.6352681597416409,0.0003923651256627636,0.0024115025807792947,0.000898494094144553,0.0022045663595199588,0.0005887559382244945,0.0062875165989001594,5.099498594063334e-05,0.0003448031594355901,3.121548434137367e-05,0.0008091242052614689,0.8137764063138762,0.6367027533352495,0.7864029756687803,0.6944246626180175,0.7594373134825503,0.5857264996010486,0.6435579551048717,0.6242187234122479,0.7359689370241179,1.0,0.1,0.1,Risk_Category_Composite,100,1.2203657020197638,0.5390082665693643,100,37376,11210.257329785076
centralized,0.1,0.25,42,0.7603911801143792,0.644075555364777,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.649924799690064,0.8186975270168998,0.7108126111239595,0.649784704401065,0.578225571471926,0.7395764364778438,0.6373392391731584,0.6440083891876939,1.0,0.1,0.25,Risk_Category_Composite,100,1.1168259485518308,0.5113571335068254,100,25628,8071.56024570219
local,0.1,0.25,42,0.30616518016269156,0.3775511643318428,0.06514962908381676,0.17329134042514488,0.045253372995648536,0.1443014195130517,0.07614461865741759,0.18977252792268992,0.0776447038828337,0.1877586879054705,0.06155582079936721,0.17133272635936736,0.3265800791378049,0.37601716462195117,0.3295282330301973,0.4224083660882486,0.2579210009433088,0.36370428028532575,0.31063140753945523,0.34807484633184566,0.2188314348844648,0.06765694742739181,0.1,0.25,Risk_Category_Composite,100,1.1168259485518308,0.5113571335068254,100,25628,8071.56024570219
federated,0.1,0.25,42,0.6967646955541029,0.6449229445305769,0.00042280151137674693,0.0018871792640614633,0.0009837112156674266,0.0020374388930698233,0.0006360627012327313,0.0037077776578565438,3.680933150462806e-05,0.0004301610609206061,3.462279710220173e-05,0.00137333944439888,0.7912912790364893,0.6644617633351458,0.7813860508619319,0.7061116978546075,0.5566903827450453,0.6003833226263311,0.6576910695729457,0.6087349943062229,0.6618477940342168,1.0,0.1,0.25,Risk_Category_Composite,100,1.1168259485518308,0.5113571335068254,100,25628,8071.56024570219
centralized,0.1,0.5,42,0.7603911801143792,0.6579480393142326,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6692015063388214,0.8186975270168998,0.7141488965527123,0.649784704401065,0.6028032188476135,0.7395764364778438,0.6456385355177835,0.5993028441991793,1.0,0.1,0.5,Risk_Category_Composite,100,0.8806503750558008,0.6611547489791485,109,20513,6355.373269918928
local,0.1,0.5,42,0.34429691809669094,0.4056608365515919,0.025753246655676774,0.08974257171483478,0.02013841223088093,0.07868443106487391,0.03448352981940843,0.10418158671489608,0.02392011849988194,0.08637982699680143,0.024470926072535804,0.08972444208276768,0.39946765408053475,0.42744320677686953,0.3886966654141462,0.45270221516837916,0.24952779599356462,0.36214222429230686,0.33949555689851796,0.38035569996881197,0.20705227445789923,0.11133913176501573,0.1,0.5,Risk_Category_Composite,100,0.8806503750558008,0.6611547489791485,109,20513,6355.373269918928
federated,0.1,0.5,42,0.6802347961847534,0.649332061153031,0.0003986027368227951,0.0015943508084164935,0.0008761142380535603,0.0024321035395065945,0.0006293905316852033,0.001638927614937226,4.9449681682744995e-05,0.0011525518849181634,3.9456495869671926e-05,0.0011538201943039894,0.7977495431494419,0.6807868456499756,0.7598919675521237,0.7014475849913042,0.490492622284533,0.59200160003736,0.6728050517529148,0.623092213933484,0.6464337574376521,1.0,0.1,0.5,Risk_Category_Composite,100,0.8806503750558008,0.6611547489791485,109,20513,6355.373269918928
centralized,0.1,0.75,42,0.7603911801143792,0.639333148081302,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6493169359903181,0.8186975270168998,0.696487693354794,0.649784704401065,0.585325185720528,0.7395764364778438,0.6262027772595677,0.5286146276292956,1.0,0.1,0.75,Risk_Category_Composite,100,0.7609230349096743,0.580897129280521,159,17692,5486.175534924124
