paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.25,0.25,42,0.7511819113906512,0.6015843094185372,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6020210954085259,0.8368028879146531,0.6265998219407503,0.6069625743886949,0.5883686619087652,0.7314227969364971,0.5893476584161074,0.44317111132497045,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
local,0.25,0.25,42,0.34545086379216805,0.40895470516321886,0.03418647897342453,0.09873415713748351,0.023738808755297214,0.0878994763698429,0.03290259622735903,0.09615696644199392,0.05454140486108372,0.12546643396541474,0.02556310604995815,0.0854137517726825,0.41957568692425584,0.4548467924870554,0.3887350208214181,0.44929592073271607,0.25145397761082056,0.3580665344687721,0.3220387698121776,0.3736095729643319,0.17346543479066628,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,0.12664657529524895
federated,0.25,0.25,42,0.6862904196565767,0.5877791794239315,0.0004768833687194274,0.00270498710044194,0.0009413290536031127,0.0053583366026481,0.0008477921364828944,0.0035247122546037037,6.358172686304897e-05,0.0008869544135717054,5.4830557928653434e-05,0.001049945130944252,0.7778977949111089,0.591307874771456,0.7894205859353313,0.6288488477715912,0.5209186622140182,0.561369772399882,0.6569246355658485,0.569590222752797,0.45044455842359243,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
centralized,0.25,0.5,42,0.7511819113906512,0.555190249319381,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.5666475772044091,0.8368028879146531,0.5825950352524513,0.6069625743886949,0.5286537632879492,0.7314227969364971,0.5428646215327143,0.355414517257226,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
local,0.25,0.5,42,0.30400604315053703,0.3873327146213653,0.021542480243624595,0.07210288124913349,0.01995953592704609,0.07993402274412413,0.015352918859571218,0.06348522996529936,0.023348151805839733,0.07009974380185206,0.02750931438204134,0.07489252848525842,0.3473240128069224,0.4309660147814768,0.33538932163183677,0.42116551571600314,0.24548590339312332,0.34156576360007157,0.2878249347702656,0.35563356438790994,0.1752585420626899,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,0.09868603434158037
federated,0.25,0.5,42,0.6311109229300886,0.5550510259782895,0.0005735387394452118,0.00248623875528574,0.0010552742751315236,0.004001015579948823,0.0010984849650412798,0.005790686586250862,8.159127173712477e-05,4.633469507098198e-05,5.880444587091915e-05,0.00010691815987229347,0.7444879234246615,0.5661697387988812,0.722416720027196,0.5840680350667138,0.4305332006381624,0.5283379512449621,0.6270058476303347,0.5416283788026011,0.383135004180035,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
centralized,0.25,1.0,42,0.7511819113906512,0.615625811464407,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.6345359866812984,0.8368028879146531,0.6493084409281088,0.6069625743886949,0.5853749448141374,0.7314227969364971,0.5932838734340834,0.4717654771591281,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
local,0.25,1.0,42,0.3250750804681975,0.4080477053872539,0.009251539382785267,0.04379269318217412,0.010914535622578114,0.05197365870326757,0.007978872198145836,0.039707149145379664,0.008827043129713275,0.040861587620278195,0.009285706580703846,0.04262837725977103,0.40893750511082533,0.45700893765237594,0.34698828303177875,0.4509723826189089,0.24115486926474042,0.3621667353929513,0.30321966446544557,0.36204276588477935,0.18520267704965404,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,0.14936504054477237
federated,0.25,1.0,42,0.6427890730453116,0.600592606363977,0.0005688543360520271,0.0022142331063126526,0.0010743431048467755,0.003467664733529091,0.0010519076604396105,0.004880988617738088,8.890895696822554e-05,0.000504729337990284,6.025762195349671e-05,3.5497359931468964e-06,0.7504370832368433,0.6237481843679619,0.7480733748063209,0.6484220129539836,0.4289555295351075,0.5625673674974218,0.6436903046029747,0.567632860636541,0.49790883116800577,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
centralized,0.25,2.0,42,0.7511819113906512,0.5709791630231451,0.0002953129815068678,0.0015308984044628837,0.0006508140941150486,0.0028775820322334764,0.00045167398639023304,0.0031137326347331204,4.362236359156668e-05,9.649520926177501e-05,3.514148193062283e-05,3.578374162316322e-05,0.8295393863227595,0.5857484911841766,0.8368028879146531,0.6099130030450306,0.6069625743886949,0.5502520201311927,0.7314227969364971,0.5380031377321808,0.44173638771928625,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,
