paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.25,0.25,42,0.7389421947467939,0.6087867270065174,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.6098295331451234,0.802097830745066,0.6430329187749486,0.739075245692059,0.599008313514943,0.6154023301252969,0.5832761425910545,0.45817638506470604,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
local,0.25,0.25,42,0.4098641027770389,0.4347936031977012,0.03770271577941457,0.09913355960375628,0.0327185787493363,0.09640110873679321,0.03296030890196562,0.09224097530705233,0.044063017345615664,0.10648080044613839,0.04106895812074072,0.10141135392504122,0.4438395600065472,0.45955646955268953,0.43910642187759735,0.4606644607200964,0.3492618535197699,0.40400308815254604,0.4072485757042412,0.41495039436547276,0.1824075347200044,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,0.14470953849927665
federated,0.25,0.25,42,0.6873113002642641,0.5815421169128255,0.0006595342347281985,0.00672165738841674,0.0013448051176965237,0.01396196136623621,0.001119406195357442,0.008599110042055448,7.610477769048885e-05,0.0011973877525888383,9.782084816833958e-05,0.003128170392786463,0.7547935841012813,0.58593088301865,0.7129017283466604,0.6191546180426556,0.6903074711898882,0.569036838940287,0.5912424174192265,0.5520461276497093,0.4633208085836788,0.25,0.25,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.636296067930578,0.29004758179767154,102,13453,4610.737576570586,
centralized,0.25,0.5,42,0.7389421947467939,0.5649021621928184,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5705418189686665,0.802097830745066,0.5912245042562493,0.739075245692059,0.5422823473763233,0.6154023301252969,0.5555599781700344,0.37459510116801115,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
local,0.25,0.5,42,0.35506148492975464,0.4145392693447202,0.028681924647935376,0.08381458332274341,0.027116672263946383,0.0927974393422405,0.027034369809553028,0.0832907426054279,0.028071142364933622,0.07721257331208325,0.03250551415330847,0.08195757803122203,0.36386912099491786,0.4341415429004355,0.3858690141596226,0.43750375826700755,0.28900448793535777,0.388312330298444,0.3815033166291204,0.39819944591299394,0.16953906725164883,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,0.10616423847404552
federated,0.25,0.5,42,0.6919467339626977,0.5527669637282723,0.0006316762155620381,0.0026558589837513864,0.0011413739994168282,0.0034006827970345815,0.0012381784617900848,0.004233195501069228,7.364834164036438e-05,0.0014396273251622916,7.350405940087512e-05,0.0015499303117394447,0.757470695082195,0.5557389622618772,0.7174572208004236,0.5860984176397138,0.646911966542591,0.5201202840767208,0.6459470534255809,0.5491101909347772,0.37273033654386,0.25,0.5,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.9490248338402036,0.6166568863455272,168,10820,3486.2740569266784,
centralized,0.25,1.0,42,0.7389421947467939,0.6215185416376316,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.6368605049344279,0.802097830745066,0.655766244000538,0.739075245692059,0.6040296269420282,0.6154023301252969,0.5894177906735325,0.4877660453688355,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
local,0.25,1.0,42,0.3920591141059827,0.45228959156593673,0.009222303262231434,0.04237541674983222,0.008872016787063331,0.044733127362529435,0.009810038679279386,0.04396653984685739,0.010807979849778349,0.04505441220548625,0.0073991777328046736,0.03574758758445581,0.4324926172791791,0.4808160318331204,0.41094081945391886,0.47963473566720094,0.30745785543335585,0.40869396219307036,0.41734516425747714,0.4400136365703552,0.1829802010391159,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,0.1758980925052911
federated,0.25,1.0,42,0.6812130657700034,0.6021098256626213,0.0005982997081446229,0.0035218680733038734,0.001113777281716466,0.00516566701233387,0.0011261297622695565,0.006563536285112302,8.037958468776196e-05,0.0014961921172216535,7.291220390470698e-05,0.0008620768785476685,0.7443366850442169,0.6184989951023495,0.7265249250579737,0.6528092316717299,0.62913769317536,0.5666795577547051,0.6248529598024631,0.5704515181217006,0.48620517732809587,0.25,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7996769797018957,0.45484832112349466,344,10006,3253.5255339400674,
centralized,0.25,2.0,42,0.7389421947467939,0.5800747211856566,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5864386907813616,0.802097830745066,0.6182672944472518,0.739075245692059,0.5593006154374579,0.6154023301252969,0.5562922840765553,0.4500674373098068,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,
local,0.25,2.0,42,0.3805777015979205,0.4447489941647075,0.0018000816293351819,0.013283506734265635,0.003958583518397063,0.026871334670111536,0.0029921540874056516,0.01907839588622252,0.00015554953715763987,0.004275546735152602,9.403937438037246e-05,0.002908749645575881,0.42788523498016023,0.4869517939972744,0.3935660381097176,0.47132327610162567,0.29721400811606136,0.4002714794878547,0.40364552518574304,0.4204494270720752,0.24957970501958493,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,0.16642621261855417
federated,0.25,2.0,42,0.6543549152766726,0.5656314110535996,0.0007500939664168982,0.0037519985002775987,0.0014041665708646178,0.0063587989409764605,0.001450482988730073,0.007473904620856047,7.965444820001721e-05,0.0006450903601944447,6.607185787288472e-05,0.0005302000790834427,0.705330575421479,0.5824256826013117,0.6610668517345443,0.6033269852153338,0.6131957008388035,0.532382628452853,0.6378265331118633,0.5443903479449,0.4684115533859363,0.25,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8243022439125347,0.5199983804610204,3153,6535,1185.6293687320672,
centralized,0.25,4.0,42,0.7389421947467939,0.6041262747353775,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.6123357863165882,0.802097830745066,0.6313561616509932,0.739075245692059,0.5914869188615498,0.6154023301252969,0.581326232112379,0.45497031551303757,0.25,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7116853023000992,0.3778989135414627,3531,5969,837.8189541899849,
local,0.25,4.0,42,0.4398127059041588,0.4803770725152362,0.0014688475977891356,0.009487431992109245,0.003217609820421785,0.020394953952481348,0.00242760858964175,0.012030129923298955,0.00013963316741865127,0.003385085565969348,9.05388136743568e-05,0.002139558526687324,0.49676171629414456,0.5134655944000168,0.4664007424483391,0.5140531515242237,0.34954952328571387,0.43738065415739397,0.4465388415884374,0.4566088899793105,0.27822816020028646,0.25,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7116853023000992,0.3778989135414627,3531,5969,837.8189541899849,0.2284930819384562
federated,0.25,4.0,42,0.6633840794301904,0.5839520691347517,0.0007170636290538823,0.004079969996470027,0.001299642026424408,0.005503645847241084,0.0013905238592997193,0.007332668244838715,8.296629675896838e-05,0.0006744489073753357,9.512233373243362e-05,0.002809116986424973,0.71471478545758,0.6010335757571452,0.6682261844653107,0.6162266539357516,0.6202550504009656,0.5503122637002509,0.6503402973969051,0.5682357831458592,0.4610727514808007,0.25,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.7116853023000992,0.3778989135414627,3531,5969,837.8189541899849,
centralized,0.25,8.0,42,0.7389421947467939,0.5812144073781701,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5873659199091725,0.802097830745066,0.6150485324558493,0.739075245692059,0.5645198051448371,0.6154023301252969,0.557923372002821,0.42747604413446105,0.25,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8175838685013461,0.45440664554545906,1941,5837,1058.472956669182,
local,0.25,8.0,42,0.37264509045369426,0.4640227802207266,0.001821597380512685,0.01359460703087971,0.004132491897325963,0.02943453123942018,0.0029049954027868807,0.017627015372738246,0.00015386847080662848,0.004078673059120774,9.503375113126822e-05,0.0032382084522396327,0.40620264829152164,0.5015650632817514,0.4002612457813674,0.5129483489353805,0.30179415970185663,0.40501417652061383,0.38232230804003126,0.43656353214516075,0.26236677790939406,0.25,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8175838685013461,0.45440664554545906,1941,5837,1058.472956669182,0.15326339198369415
federated,0.25,8.0,42,0.632029282356015,0.5587463523656266,0.0007481823449779768,0.004303697602202495,0.0013722159201279283,0.004959939360618591,0.0014612083323299885,0.009565604959925016,8.78682840266265e-05,0.0016328273341059685,7.143684342736378e-05,0.0010564187541604042,0.6932159176457174,0.5815263357596546,0.6348827719780846,0.603977525578317,0.6024391535329321,0.5183088477788078,0.5975792862673255,0.531172700345727,0.44600862071961467,0.25,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8175838685013461,0.45440664554545906,1941,5837,1058.472956669182,
centralized,0.25,16.0,42,0.7389421947467939,0.5842718122561104,0.00039283485330088297,0.0023770702195664247,0.0007815624703653157,0.0029414900541305544,0.0006634839810431004,0.004174351652463278,7.506700058002025e-05,0.0007193968631327152,5.1225961215095595e-05,0.0016730423085391521,0.7991933724247539,0.5911770788450247,0.802097830745066,0.6219387640050379,0.739075245692059,0.5630835737086719,0.6154023301252969,0.5608878324657071,0.44257393627487207,0.25,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8012455410670375,0.4449506300383995,2582,5526,796.639818236573,
local,0.25,16.0,42,0.3812491719023643,0.471620823394622,0.0017142764425443601,0.012611309412804743,0.003762946533970535,0.024949664716422557,0.0028476302279159425,0.01860698041220506,0.0001568809610034805,0.004326815670356155,8.964804728748277e-05,0.002561776852235198,0.42217851117349525,0.5096634097303797,0.39881280848243034,0.5123153871564655,0.30078464785390824,0.41631775361323886,0.40322072009962345,0.44818674307840417,0.27258762832848366,0.25,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.8012455410670375,0.4449506300383995,2582,5526,796.639818236573,0.17568698930716298
