paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro
centralized,0.1,0.1,42,0.7603911801143792,0.7660290923721218,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.8134188559719556,0.8186975270168998,0.8108545593968466,0.649784704401065,0.7299120921481594,0.7395764364778438,0.7099308619715258,0.24158333333333334,0.0,0.8773948566931724,1.0
local,0.1,0.1,42,0.35102711471141823,0.4407989313860987,0.07579618625522926,0.19078650977810224,0.06451221823808737,0.1749588383836051,0.07489051588927395,0.1881486753782878,0.09979130462379544,0.2233269403297454,0.06399070626976026,0.1767115850207706,0.4051641183467735,0.4711754458705915,0.4107658474040939,0.492927998382427,0.2530248752344533,0.3867870867882215,0.33515361786035225,0.41230519450315484,0.9982500000000001,0.888,0.18728041322733915,0.12784233555194768
federated,0.1,0.1,42,0.6950568725018025,0.7192771733230906,0.0004452561406651512,0.004360351435801325,0.0010529941646382213,0.009477572735399007,0.000617615703959018,0.003792113617062569,6.896845297887921e-05,0.0023237611985144515,4.1446241084486246e-05,0.001847958192229271,0.7797827808587856,0.7746515001208011,0.7709783056845371,0.7667812614658986,0.553627501877527,0.6695636116490932,0.67583890158636,0.6661123200565694,0.44275,0.0,0.8107592667966786,1.0
centralized,0.1,0.25,42,0.7603911801143792,0.7712150495431975,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.8144551338421007,0.8186975270168998,0.8145783984564101,0.649784704401065,0.738453484790048,0.7395764364778438,0.7173731810842315,0.29175,0.0,0.8789928422695179,1.0
local,0.1,0.25,42,0.3885855118846333,0.4737670571761345,0.03813303354081654,0.10106627296383958,0.0319916088366881,0.09400786814391614,0.031633195362519476,0.09125816130029658,0.04508079337028903,0.1144873156176259,0.04382653659376956,0.10451174679351968,0.47786096080234797,0.5381713146975045,0.4488130896261283,0.5330238928570958,0.26988741528239313,0.41129690201188646,0.3577805818276639,0.4125761191380513,0.9965,0.9186666666666666,0.19405879498347728,0.16609583911609568
federated,0.1,0.25,42,0.6739544231960779,0.7077360816798489,0.0004801571903954027,0.0019980522807842745,0.0010258115362375975,0.004124430236717065,0.0007967196288518608,0.001025773897767067,5.4967844334896654e-05,0.0011919360797231395,4.312975215725601e-05,0.0016500689089298248,0.7825007731200414,0.7788277908062144,0.7724618302158573,0.7672738718290728,0.48067959358360807,0.6434544544252842,0.6601754958648048,0.641388209658824,0.3836666666666667,0.0,0.8376098591173606,1.0
centralized,0.1,0.5,42,0.7603911801143792,0.7769552276964167,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.8211167943892144,0.8186975270168998,0.8180906172659633,0.649784704401065,0.7467458340231791,0.7395764364778438,0.7218676651073098,0.23775,0.0,0.9124120959564935,1.0
local,0.1,0.5,42,0.4141049648775689,0.4968733796138528,0.04820591321704342,0.09692893119957298,0.029027157224481924,0.07753404386341571,0.07821890938212164,0.12659629704443115,0.04596174298712867,0.09648108365597825,0.03961584327444143,0.08710430023446679,0.5283553343722024,0.5701385968722915,0.489493856147272,0.5679121444828612,0.2746351109744457,0.42336653645683586,0.3639355580163557,0.42607624064342264,0.9986666666666667,0.9530833333333333,0.23232706397935837,0.203803129226176
federated,0.1,0.5,42,0.6208681076281084,0.6816803342669827,0.0005582021121881553,0.005218395801532703,0.0011825739638879895,0.009352165733774502,0.0009353369823656976,0.007616285746296247,6.901341839693487e-05,0.002005772909615189,4.588408410199918e-05,0.0018993588164448738,0.7569536268759363,0.7663723364790012,0.713373909746637,0.7569855931319512,0.404949106473427,0.5940274501560352,0.6081957874164333,0.6093359573009433,0.20108333333333334,0.0,0.9227461611021346,1.0
centralized,0.1,0.75,42,0.7603911801143792,0.7772026401484318,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.82760441242225,0.8186975270168998,0.8224966378041696,0.649784704401065,0.7387501290932571,0.7395764364778438,0.7199593812740505,0.20208333333333334,0.0,0.9210908642814948,1.0
